Region,id,2017,2018,2019,2020,2021,2022,2023,2024
AL - Baha,SA11,33.4,26.36497425,27.75663835,26.74458646,14.51905973,16.18276537,18.73207413,15.05535055
AL - Jouf,SA12,36.8,29.36323997,31.8373835,47.70711773,16.00842649,21.75898982,20.31454142,10.77593293
Asir,SA14,16.7,28.86741016,31.54744496,28.01281222,16.60999065,18.89636437,16.35300005,15.87853777
Easte. Prov.,SA04,18.7,13.84974205,15.0063077,11.56643947,14.02517079,14.46690518,10.69118698,9.723094239
Hail,SA06,24.2,22.15418818,19.29013013,9.318020923,14.8911511,17.35641227,14.89233003,10.10501035
Jazan,SA09,38.5,36.14280245,44.01824253,30.43217013,18.81954378,20.74130086,18.31838147,14.5029811
Madinah,SA03,32.5,31.82438646,27.90535397,27.43331971,17.01701752,20.35258255,19.56664281,16.02373887
Makkah,SA02,16.3,15.68917101,17.7951693,20.69984452,19.21331113,17.5047677,14.08837229,15.42652457
Najran,SA10,21.6,15.78854626,32.1300502,22.66246127,13.13640608,18.30584329,12.46525958,6.400136901
North.Bord.,SA08,37.7,34.77302205,33.28259284,12.6380795,12.6132988,17.37618284,18.23731964,13.98257815
Qassim,SA05,19.1,17.72698009,9.893301457,1.779091331,15.9190408,17.25228607,12.648139,11.50691482
Riyadh,SA01,16,20.2761791,17.13564013,22.32113081,13.50796126,12.45847321,10.02391578,8.761115173
Tabuk,SA07,40.2,27.16173209,19.00257051,14.51373013,26.60754363,25.40494276,16.89770791,9.455924666
